"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",2503.39914595697,-0.324650042301423,0.211211295644488,-1.53708655264288,0.124272115534842,0.550648123572422
"2",944.565497452193,0.154227583484124,0.235879008548905,0.653841918502671,0.513213656826374,0.802713475375825
"3",829.333000588584,-0.117458031971606,0.206870571445111,-0.567785118739186,0.570180885711049,0.83062957062146
"4",882.416875526227,0.0461279496030847,0.181498207444891,0.254150992742398,0.799378909821092,0.928218368548957
"5",1834.71165511664,0.0781487311340629,0.22778228503613,0.343085201387225,0.731534363816158,0.900457090096838
"6",4738.92695122562,0.175477341307353,0.258799076705536,0.678044696067492,0.497743354270808,0.796224687477041
"7",7390.84802788121,0.16849784993579,0.353101880434352,0.477193295398257,0.633224484936166,0.863453161838954
"8",15812.9661745938,0.293684808768483,0.357110773425243,0.822391343592332,0.410854204446473,0.746446248379032
"9",600.944150838909,-1.00776471442733,0.450380899290933,-2.23758315686551,0.0252482509407486,0.353632406898749
"10",31775.3604112971,-0.0182096583355973,0.314142084596164,-0.0579663127880691,0.953775461889181,0.983787596423294
"11",2262.54739624258,-0.36562104156332,0.197453977829937,-1.85167726465466,0.0640721806416524,0.463235877984881
"12",1718.45197164266,-0.0956617896047202,0.250019268235085,-0.382617668950109,0.702003267499861,0.890570232433408
"13",4357.10144285526,0.174921915196857,0.191426899082526,0.913779181688807,0.360832887654328,0.719433819302547
"14",420.112578004534,0.0485350934558299,0.24013385558191,0.202116829125223,0.839825391630495,0.946792368063758
"15",802.014838472168,-0.0102528246056129,0.220473284691864,-0.0465037050631435,0.962908781069772,0.987823927355623
"16",216.753819033941,-0.264410676597498,0.309569289060715,-0.854124378421918,0.393036077666462,0.735668698727663
"17",30.0917446889537,-0.0242208861724732,0.581033687903341,-0.0416858551865972,0.96674913008595,0.989074223167189
"18",1101.7348093375,-0.543363530620504,0.223235440479846,-2.43403793525141,0.0149314301206044,0.286186715748847
"19",485.343105888968,-0.152486179640148,0.315905447149307,-0.482695632557669,0.629311864756476,0.862189780719709
"20",558.38553916119,0.520471016593304,0.413121970769453,1.25984830974714,0.207724088566854,0.607036427703732
"21",2942.37763709062,-0.215605638438983,0.237541680610849,-0.907653923658969,0.364061094877483,0.720651830741575
"22",696.536318662974,-0.272198407248063,0.273346575748247,-0.995799587036928,0.319347530989249,0.686623818713961
"23",239.788116346522,-0.635637993404934,0.357500306568463,-1.77800684845904,0.0754027301115965,0.480985902717053
"24",206.919509272086,-0.738441892076843,0.343727394048224,-2.14833587564814,0.0316870828585949,0.384515171264164
"25",2585.34246039983,-0.128502309226921,0.210406563456169,-0.610733368370851,0.541376111516032,0.82186568158422
"26",1056.35434975409,-0.753809612580282,0.47589414281016,-1.58398590100107,0.113196927572058,0.541506165916011
"27",940.382241425473,-0.378313067321136,0.417464924662265,-0.906215217068107,0.364821950228849,0.720652050501555
"28",3327.50254801989,-0.854598562680561,0.310904312776646,-2.74875107086245,0.00598227994621068,0.171768488065498
"29",433.993188009054,-0.0682585121420505,0.473667587779185,-0.144106360458574,0.885416482229923,0.965273662137921
"30",520.664747146419,-0.174829792486288,0.30225460789065,-0.578418948536058,0.562981304046561,0.829197440864419
"31",378.921857883566,-0.549781644891844,0.37499242128272,-1.4661140164146,0.142617227831715,0.564758047641166
"32",458.303546072776,0.0944967025350626,0.384882637969933,0.245520824305005,0.806053186059511,0.931956474472418
"33",36816.6496481434,0.00385292135865696,0.332908257031951,0.0115735229669812,0.990765870857453,0.996693885320606
"34",18060.1036938586,0.370738560776248,0.320860399275212,1.15545128539921,0.247905670573066,0.629612037936059
"35",55267.1905869606,0.0479895297282856,0.322758430070711,0.14868559658619,0.881801727154743,0.962417912142931
"36",1389.65130443842,0.131494479726528,0.260075382405474,0.505601408754327,0.613136492436214,0.85351040648374
"37",369.113349597651,-0.649725467111112,0.486554530261397,-1.33536001969204,0.181758543354554,0.592665708756805
"38",273.559977761191,-0.318673842076596,0.338190470037946,-0.942291017369116,0.346043665802359,0.708949628878985
"39",93.8950743892369,-1.03963370038764,0.483481879610866,-2.15030540798012,0.0315310649155227,0.384515171264164
"40",943.29065863249,-0.271891662225641,0.293130910632602,-0.927543470727379,0.353644432466764,0.711960194671639
"41",19897.3825002755,0.408948020761983,0.321876186477708,1.27051343945976,0.203901798695603,0.603171090207261
"42",4035.67726491983,0.278789884070885,0.293888576163232,0.948624433486109,0.342811659546554,0.707697753812991
"43",15442.8124763094,0.209657105174813,0.316249869858352,0.662947640954661,0.507364088290601,0.801617313687886
"44",3484.3664775926,-0.0868725861556388,0.267245474446038,-0.325066631476972,0.745130642894861,0.904918469926945
"45",9525.18827747007,0.0590777673884275,0.361546102380248,0.163403137247193,0.870201032917514,0.957727583585455
"46",1074.4156888345,-0.353047590498189,0.22964395527291,-1.53736940333842,0.124202874553409,0.550648123572422
"47",2080.06526467336,0.187629636767614,0.216090723334634,0.86829103013855,0.385235031378391,0.730077952656353
"48",23235.0165956885,-0.017238293649597,0.378370791559091,-0.0455592610057611,0.963661540441194,0.98792548063253
"49",287.484426695469,-0.652744138732786,0.64102720081377,-1.01827837867744,0.308545680522575,0.680418866739634
"50",1510.79770605152,-0.352911395509462,0.245770569385985,-1.43593838916982,0.151019873522899,0.569254121598601
"51",1075.4321795044,-0.148924604963085,0.222133566352645,-0.670428190607903,0.502584868851551,0.798249338776033
"52",2584.12647712967,0.193739413040578,0.271379061462832,0.713907005191381,0.475284685352556,0.779510041565808
